Country,transportation_type,date,mobility,Country_code
Italy,walking,2020-11-20,46.95,IT
Italy,driving,2020-11-21,53.22,IT
Italy,transit,2020-11-21,37.34,IT
Italy,walking,2020-11-21,50.32,IT
Italy,driving,2020-11-22,46.17,IT
Italy,transit,2020-11-22,36.89,IT
Italy,walking,2020-11-22,40.29,IT
Italy,driving,2020-11-23,58.74,IT
Italy,transit,2020-11-23,40.4,IT
Italy,walking,2020-11-23,43.77,IT
Italy,driving,2020-11-24,60.37,IT
Italy,transit,2020-11-24,40.41,IT
Italy,walking,2020-11-24,46.2,IT
Italy,driving,2020-11-25,61.51,IT
Italy,transit,2020-11-25,39.66,IT
Italy,walking,2020-11-25,47.93,IT
Italy,driving,2020-11-26,62.63,IT
Italy,transit,2020-11-26,40.78,IT
Italy,walking,2020-11-26,47.09,IT
Italy,driving,2020-11-27,65,IT
Italy,transit,2020-11-27,44.06,IT
Italy,walking,2020-11-27,50.67,IT
Italy,driving,2020-11-28,54.42,IT
Italy,transit,2020-11-28,39.02,IT
Italy,walking,2020-11-28,50.33,IT
Italy,driving,2020-11-29,47.07,IT
Italy,transit,2020-11-29,39.7,IT
Italy,walking,2020-11-29,39.34,IT
Italy,driving,2020-11-30,63.21,IT
Italy,transit,2020-11-30,43.97,IT
Italy,walking,2020-11-30,47.43,IT
Italy,driving,2020-12-01,64.43,IT
Italy,transit,2020-12-01,43.12,IT
Italy,walking,2020-12-01,47.45,IT
Italy,driving,2020-12-02,62.51,IT
Italy,transit,2020-12-02,42.11,IT
Italy,walking,2020-12-02,44.47,IT
Italy,driving,2020-12-03,65.89,IT
Italy,transit,2020-12-03,42.52,IT
Italy,walking,2020-12-03,48.51,IT
Italy,driving,2020-12-04,72.42,IT
Italy,transit,2020-12-04,44.25,IT
Italy,walking,2020-12-04,48.12,IT
Italy,driving,2020-12-05,57.65,IT
Italy,transit,2020-12-05,39.51,IT
Italy,walking,2020-12-05,48.36,IT
Italy,driving,2020-12-06,47.84,IT
Italy,transit,2020-12-06,36.95,IT
Italy,walking,2020-12-06,33.49,IT
Italy,driving,2020-12-07,64.08,IT
Italy,transit,2020-12-07,42.38,IT
Italy,walking,2020-12-07,52.26,IT
Italy,driving,2020-12-08,50.78,IT
Italy,transit,2020-12-08,38.94,IT
Italy,walking,2020-12-08,36.37,IT
Italy,driving,2020-12-09,71.73,IT
Italy,transit,2020-12-09,47.38,IT
Italy,walking,2020-12-09,49.64,IT
Italy,driving,2020-12-10,73.1,IT
Italy,transit,2020-12-10,47.28,IT
Italy,walking,2020-12-10,53.49,IT
Italy,driving,2020-12-11,76.23,IT
Italy,transit,2020-12-11,47.32,IT
Italy,walking,2020-12-11,56.46,IT
Italy,driving,2020-12-12,69.25,IT
Italy,transit,2020-12-12,44.83,IT
Italy,walking,2020-12-12,61.92,IT
Italy,driving,2020-12-13,72.4,IT
Italy,transit,2020-12-13,48.51,IT
Italy,walking,2020-12-13,60.94,IT
Italy,driving,2020-12-14,79.35,IT
Italy,transit,2020-12-14,52.76,IT
Italy,walking,2020-12-14,57.28,IT
Italy,driving,2020-12-15,80.33,IT
Italy,transit,2020-12-15,50.05,IT
Italy,walking,2020-12-15,58.91,IT
Italy,driving,2020-12-16,82.6,IT
Italy,transit,2020-12-16,52.06,IT
Italy,walking,2020-12-16,60.69,IT
Italy,driving,2020-12-17,87.5,IT
Italy,transit,2020-12-17,51.07,IT
Italy,walking,2020-12-17,63.81,IT
Italy,driving,2020-12-18,97.77,IT
Italy,transit,2020-12-18,52.5,IT
Italy,walking,2020-12-18,68.8,IT
Italy,driving,2020-12-19,84.16,IT
Italy,transit,2020-12-19,49.17,IT
Italy,walking,2020-12-19,74.37,IT
Italy,driving,2020-12-20,70.56,IT
Italy,transit,2020-12-20,44.79,IT
Italy,walking,2020-12-20,54.14,IT
Italy,driving,2020-12-21,82.58,IT
Italy,transit,2020-12-21,47.63,IT
Italy,walking,2020-12-21,60.82,IT
Italy,driving,2020-12-22,87.73,IT
Italy,transit,2020-12-22,48.18,IT
Italy,walking,2020-12-22,66.31,IT
Italy,driving,2020-12-23,87.82,IT
Italy,transit,2020-12-23,43.08,IT
Italy,walking,2020-12-23,67.61,IT
Italy,driving,2020-12-24,30.14,IT
Italy,transit,2020-12-24,19.73,IT
Italy,walking,2020-12-24,23.74,IT
Italy,driving,2020-12-25,18.93,IT
Italy,transit,2020-12-25,19.19,IT
Italy,walking,2020-12-25,13.32,IT
Italy,driving,2020-12-26,26.77,IT
Italy,transit,2020-12-26,26.77,IT
Italy,walking,2020-12-26,20.99,IT
Italy,driving,2020-12-27,36.9,IT
Italy,transit,2020-12-27,34.1,IT
Italy,walking,2020-12-27,26.12,IT
Italy,driving,2020-12-28,56.16,IT
Italy,transit,2020-12-28,40.98,IT
Italy,walking,2020-12-28,38.95,IT
Italy,driving,2020-12-29,61.52,IT
Italy,transit,2020-12-29,40.22,IT
Italy,walking,2020-12-29,45.31,IT
Italy,driving,2020-12-30,62.27,IT
Italy,transit,2020-12-30,37.67,IT
Italy,walking,2020-12-30,45.82,IT
Italy,driving,2020-12-31,37.07,IT
Italy,transit,2020-12-31,22.88,IT
Italy,walking,2020-12-31,30.3,IT
Italy,driving,2021-01-01,23.48,IT
Italy,transit,2021-01-01,23.8,IT
Italy,walking,2021-01-01,15.74,IT
Italy,driving,2021-01-02,34.85,IT
Italy,transit,2021-01-02,30.2,IT
Italy,walking,2021-01-02,24.58,IT
Italy,driving,2021-01-03,38.7,IT
Italy,transit,2021-01-03,36.16,IT
Italy,walking,2021-01-03,25.99,IT
Italy,driving,2021-01-04,61.4,IT
Italy,transit,2021-01-04,44.07,IT
Italy,walking,2021-01-04,44.5,IT
Italy,driving,2021-01-05,45.77,IT
Italy,transit,2021-01-05,35.91,IT
Italy,walking,2021-01-05,33.32,IT
Italy,driving,2021-01-06,38.63,IT
Italy,transit,2021-01-06,36.69,IT
Italy,walking,2021-01-06,26.06,IT
Italy,driving,2021-01-07,69.34,IT
Italy,transit,2021-01-07,49.46,IT
Italy,walking,2021-01-07,49.82,IT
Italy,driving,2021-01-08,74.53,IT
Italy,transit,2021-01-08,49.48,IT
Italy,walking,2021-01-08,56.69,IT
Italy,driving,2021-01-09,51.83,IT
Italy,transit,2021-01-09,42.08,IT
Italy,walking,2021-01-09,43.61,IT
Italy,driving,2021-01-10,45.73,IT
Italy,transit,2021-01-10,46.35,IT
Italy,walking,2021-01-10,32.31,IT
Italy,driving,2021-01-11,67.13,IT
Italy,transit,2021-01-11,53.31,IT
Italy,walking,2021-01-11,50.14,IT
Italy,driving,2021-01-12,69.7,IT
Italy,transit,2021-01-12,52.05,IT
Italy,walking,2021-01-12,52.3,IT
Italy,driving,2021-01-13,70.52,IT
Italy,transit,2021-01-13,52.58,IT
Italy,walking,2021-01-13,53.92,IT
Italy,driving,2021-01-14,72.27,IT
Italy,transit,2021-01-14,53.51,IT
Italy,walking,2021-01-14,55.13,IT
Italy,driving,2021-01-15,74.48,IT
Italy,transit,2021-01-15,52.77,IT
Italy,walking,2021-01-15,56.71,IT
Italy,driving,2021-01-16,66.68,IT
Italy,transit,2021-01-16,47.02,IT
Italy,walking,2021-01-16,60.91,IT
Italy,driving,2021-01-17,48.17,IT
Italy,transit,2021-01-17,45.39,IT
