areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,Northern Ireland,N92000002,2021-11-02,1114,277334
nation,Northern Ireland,N92000002,2021-11-01,948,276220
nation,Northern Ireland,N92000002,2021-10-31,1001,275272
nation,Northern Ireland,N92000002,2021-10-30,1207,274271
nation,Northern Ireland,N92000002,2021-10-29,1321,273064
nation,Northern Ireland,N92000002,2021-10-28,1122,271743
nation,Northern Ireland,N92000002,2021-10-27,1291,270621
nation,Northern Ireland,N92000002,2021-10-26,1124,269330
nation,Northern Ireland,N92000002,2021-10-25,1019,268206
nation,Northern Ireland,N92000002,2021-10-24,1061,267187
nation,Northern Ireland,N92000002,2021-10-23,1323,266126
nation,Northern Ireland,N92000002,2021-10-22,1355,264803
nation,Northern Ireland,N92000002,2021-10-21,1051,263448
nation,Northern Ireland,N92000002,2021-10-20,1423,262397
nation,Northern Ireland,N92000002,2021-10-19,1367,260974
nation,Northern Ireland,N92000002,2021-10-18,1091,259607
nation,Northern Ireland,N92000002,2021-10-17,966,258516
nation,Northern Ireland,N92000002,2021-10-16,1218,257550
nation,Northern Ireland,N92000002,2021-10-15,1349,256332
nation,Northern Ireland,N92000002,2021-10-14,1304,254983
nation,Northern Ireland,N92000002,2021-10-13,1471,253679
nation,Northern Ireland,N92000002,2021-10-12,1278,252208
nation,Northern Ireland,N92000002,2021-10-11,1109,250930
nation,Northern Ireland,N92000002,2021-10-10,1115,249821
nation,Northern Ireland,N92000002,2021-10-09,1274,248706
nation,Northern Ireland,N92000002,2021-10-08,1276,247432
nation,Northern Ireland,N92000002,2021-10-07,1305,246156
nation,Northern Ireland,N92000002,2021-10-06,1339,244851
nation,Northern Ireland,N92000002,2021-10-05,1209,243512
nation,Northern Ireland,N92000002,2021-10-04,1080,242303
nation,Northern Ireland,N92000002,2021-10-03,892,241223
nation,Northern Ireland,N92000002,2021-10-02,992,240331
nation,Northern Ireland,N92000002,2021-10-01,1039,239339
nation,Northern Ireland,N92000002,2021-09-30,1163,238300
nation,Northern Ireland,N92000002,2021-09-29,1320,237137
nation,Northern Ireland,N92000002,2021-09-28,1078,235817
nation,Northern Ireland,N92000002,2021-09-27,903,234739
nation,Northern Ireland,N92000002,2021-09-26,1020,233836
nation,Northern Ireland,N92000002,2021-09-25,1120,232816
nation,Northern Ireland,N92000002,2021-09-24,1030,231696
nation,Northern Ireland,N92000002,2021-09-23,1165,230666
nation,Northern Ireland,N92000002,2021-09-22,1060,229501
nation,Northern Ireland,N92000002,2021-09-21,1145,228441
nation,Northern Ireland,N92000002,2021-09-20,1020,227296
nation,Northern Ireland,N92000002,2021-09-19,889,226276
