country,transportation_type,date,mobility
Scotland,transit,2020-02-08,117.82
Wales,driving,2020-02-08,102.03
Wales,walking,2020-02-08,162.29
Wales,transit,2020-02-08,91.19
England,driving,2020-02-09,95.16
England,walking,2020-02-09,77.56
England,transit,2020-02-09,100.66
NorthernIreland,driving,2020-02-09,80.94
NorthernIreland,walking,2020-02-09,84.04
NorthernIreland,transit,2020-02-09,90.35
Scotland,driving,2020-02-09,97.16
Scotland,walking,2020-02-09,98.35
Scotland,transit,2020-02-09,101.94
Wales,driving,2020-02-09,94.69
Wales,walking,2020-02-09,74.7
Wales,transit,2020-02-09,84.84
England,driving,2020-02-10,108.55
England,walking,2020-02-10,101.93
England,transit,2020-02-10,106.74
NorthernIreland,driving,2020-02-10,103.97
NorthernIreland,walking,2020-02-10,109.15
NorthernIreland,transit,2020-02-10,101.73
Scotland,driving,2020-02-10,113.37
Scotland,walking,2020-02-10,96.33
Scotland,transit,2020-02-10,110.7
Wales,driving,2020-02-10,106.14
Wales,walking,2020-02-10,98.99
Wales,transit,2020-02-10,94.36
England,driving,2020-02-11,107.57
England,walking,2020-02-11,112.51
England,transit,2020-02-11,107.98
NorthernIreland,driving,2020-02-11,103.06
NorthernIreland,walking,2020-02-11,105.18
NorthernIreland,transit,2020-02-11,96.92
Scotland,driving,2020-02-11,115.82
Scotland,walking,2020-02-11,103.1
Scotland,transit,2020-02-11,109.18
Wales,driving,2020-02-11,106.55
Wales,walking,2020-02-11,110.31
Wales,transit,2020-02-11,96.2
England,driving,2020-02-12,108.75
England,walking,2020-02-12,123.01
England,transit,2020-02-12,110.14
NorthernIreland,driving,2020-02-12,111.47
NorthernIreland,walking,2020-02-12,131.04
NorthernIreland,transit,2020-02-12,110.31
Scotland,driving,2020-02-12,112.51
Scotland,walking,2020-02-12,114.66
Scotland,transit,2020-02-12,111.36
Wales,driving,2020-02-12,105.95
Wales,walking,2020-02-12,119.99
Wales,transit,2020-02-12,100.39
England,driving,2020-02-13,109.79
England,walking,2020-02-13,121.16
England,transit,2020-02-13,107.99
NorthernIreland,driving,2020-02-13,117.4
NorthernIreland,walking,2020-02-13,135.59
NorthernIreland,transit,2020-02-13,94.17
Scotland,driving,2020-02-13,110.3
Scotland,walking,2020-02-13,118.41
Scotland,transit,2020-02-13,109.18
Wales,driving,2020-02-13,105.3
Wales,walking,2020-02-13,114.15
Wales,transit,2020-02-13,94.71
England,driving,2020-02-14,119.05
England,walking,2020-02-14,153.09
England,transit,2020-02-14,118.09
NorthernIreland,driving,2020-02-14,127.1
NorthernIreland,walking,2020-02-14,165.55
NorthernIreland,transit,2020-02-14,108.63
Scotland,driving,2020-02-14,124.94
Scotland,walking,2020-02-14,159.92
Scotland,transit,2020-02-14,117.43
Wales,driving,2020-02-14,121.13
Wales,walking,2020-02-14,148.06
Wales,transit,2020-02-14,97.21
England,driving,2020-02-15,108.71
England,walking,2020-02-15,152.06
England,transit,2020-02-15,119.75
NorthernIreland,driving,2020-02-15,113.35
NorthernIreland,walking,2020-02-15,164.9
NorthernIreland,transit,2020-02-15,97.04
Scotland,driving,2020-02-15,119.36
Scotland,walking,2020-02-15,161.86
Scotland,transit,2020-02-15,112.14
Wales,driving,2020-02-15,108.59
Wales,walking,2020-02-15,140.96
Wales,transit,2020-02-15,92.63
England,driving,2020-02-16,100.99
England,walking,2020-02-16,97.63
England,transit,2020-02-16,110.02
NorthernIreland,driving,2020-02-16,89.54
NorthernIreland,walking,2020-02-16,104.17
NorthernIreland,transit,2020-02-16,96.55
Scotland,driving,2020-02-16,99.88
Scotland,walking,2020-02-16,110.49
Scotland,transit,2020-02-16,108.25
Wales,driving,2020-02-16,117.91
Wales,walking,2020-02-16,92.05
Wales,transit,2020-02-16,92.34
England,driving,2020-02-17,118.63
England,walking,2020-02-17,128.78
England,transit,2020-02-17,119.67
NorthernIreland,driving,2020-02-17,116.99
NorthernIreland,walking,2020-02-17,135.66
NorthernIreland,transit,2020-02-17,112.37
Scotland,driving,2020-02-17,112.93
Scotland,walking,2020-02-17,118.02
Scotland,transit,2020-02-17,115.68
Wales,driving,2020-02-17,127.91
Wales,walking,2020-02-17,124.52
Wales,transit,2020-02-17,110.23
England,driving,2020-02-18,119.12
England,walking,2020-02-18,130.23
England,transit,2020-02-18,118.97
NorthernIreland,driving,2020-02-18,120.58
NorthernIreland,walking,2020-02-18,143.19
NorthernIreland,transit,2020-02-18,122.02
Scotland,driving,2020-02-18,116.93
Scotland,walking,2020-02-18,125.2
Scotland,transit,2020-02-18,117.68
Wales,driving,2020-02-18,125.39
Wales,walking,2020-02-18,124.05
Wales,transit,2020-02-18,101.89
England,driving,2020-02-19,121.62
England,walking,2020-02-19,136.66
England,transit,2020-02-19,122.14
NorthernIreland,driving,2020-02-19,125.66
NorthernIreland,walking,2020-02-19,146.7
NorthernIreland,transit,2020-02-19,117.09
Scotland,driving,2020-02-19,118.63
Scotland,walking,2020-02-19,128.82
Scotland,transit,2020-02-19,121
Wales,driving,2020-02-19,122.25
Wales,walking,2020-02-19,129.98
Wales,transit,2020-02-19,108.08
England,driving,2020-02-20,118.21
England,walking,2020-02-20,131.67
England,transit,2020-02-20,119.29
NorthernIreland,driving,2020-02-20,123.15
NorthernIreland,walking,2020-02-20,149.25
NorthernIreland,transit,2020-02-20,113.8
Scotland,driving,2020-02-20,118.09
Scotland,walking,2020-02-20,128.24
Scotland,transit,2020-02-20,113.86
Wales,driving,2020-02-20,117.99
Wales,walking,2020-02-20,129.15
Wales,transit,2020-02-20,98.94
England,driving,2020-02-21,126.69
England,walking,2020-02-21,152.95
England,transit,2020-02-21,127.01
NorthernIreland,driving,2020-02-21,128.2
NorthernIreland,walking,2020-02-21,162.18
NorthernIreland,transit,2020-02-21,102.88
Scotland,driving,2020-02-21,131.46
Scotland,walking,2020-02-21,144.68
Scotland,transit,2020-02-21,122.97
Wales,driving,2020-02-21,133.33
Wales,walking,2020-02-21,164.62
Wales,transit,2020-02-21,111.25
England,driving,2020-02-22,115.29
England,walking,2020-02-22,169.94
England,transit,2020-02-22,127.98
NorthernIreland,driving,2020-02-22,123.44
NorthernIreland,walking,2020-02-22,167.31
NorthernIreland,transit,2020-02-22,97.29
Scotland,driving,2020-02-22,117.69
Scotland,walking,2020-02-22,155.03
Scotland,transit,2020-02-22,112.12
Wales,driving,2020-02-22,113.96
Wales,walking,2020-02-22,188.33
Wales,transit,2020-02-22,104.48
England,driving,2020-02-23,101.48
England,walking,2020-02-23,100.72
England,transit,2020-02-23,105.73
NorthernIreland,driving,2020-02-23,91.87
NorthernIreland,walking,2020-02-23,96.85
NorthernIreland,transit,2020-02-23,87.63
Scotland,driving,2020-02-23,98.54
Scotland,walking,2020-02-23,102.94
Scotland,transit,2020-02-23,104.75
Wales,driving,2020-02-23,103.93
Wales,walking,2020-02-23,105.26
Wales,transit,2020-02-23,87.77
England,driving,2020-02-24,109.21
England,walking,2020-02-24,104.71
England,transit,2020-02-24,107.94
NorthernIreland,driving,2020-02-24,102.5
NorthernIreland,walking,2020-02-24,114.2
NorthernIreland,transit,2020-02-24,105.22
Scotland,driving,2020-02-24,103.84
Scotland,walking,2020-02-24,98.07
Scotland,transit,2020-02-24,109.45
Wales,driving,2020-02-24,108.38
Wales,walking,2020-02-24,99.65
Wales,transit,2020-02-24,99.81
England,driving,2020-02-25,108.27
England,walking,2020-02-25,116.32
England,transit,2020-02-25,108.41
NorthernIreland,driving,2020-02-25,106.25
NorthernIreland,walking,2020-02-25,112.36
NorthernIreland,transit,2020-02-25,100.16
Scotland,driving,2020-02-25,106.87
Scotland,walking,2020-02-25,109.77
Scotland,transit,2020-02-25,106.78
Wales,driving,2020-02-25,108.16
