"country","date","proportion"
"Scotland","2020-11-24",9.8
"Scotland","2020-11-25",9.9
"Scotland","2020-11-26",10
"Scotland","2020-11-27",10.1
"Scotland","2020-11-28",10.2
"Scotland","2020-11-29",10.3
"Scotland","2020-11-30",10.4
"Scotland","2020-12-01",10.59
"Scotland","2020-12-02",10.77
"Scotland","2020-12-03",10.96
"Scotland","2020-12-04",11.14
"Scotland","2020-12-05",11.33
"Scotland","2020-12-06",11.51
"Scotland","2020-12-07",11.7
"Scotland","2020-12-08",17.37
"Scotland","2020-12-09",23.04
"Scotland","2020-12-10",28.71
"Scotland","2020-12-11",34.39
"Scotland","2020-12-12",40.06
"Scotland","2020-12-13",45.73
"Scotland","2020-12-14",51.4
"Scotland","2020-12-15",49.77
"Scotland","2020-12-16",48.14
"Scotland","2020-12-17",46.51
"Scotland","2020-12-18",44.89
"Scotland","2020-12-19",43.26
"Scotland","2020-12-20",41.63
"Scotland","2020-12-21",40
"Scotland","2020-12-22",39.4
"Scotland","2020-12-23",38.8
"Scotland","2020-12-24",38.2
"Scotland","2020-12-25",37.6
"Scotland","2020-12-26",37
"Scotland","2020-12-27",36.4
"Scotland","2020-12-28",35.8
"Scotland","2020-12-29",39.84
"Scotland","2020-12-30",43.89
"Scotland","2020-12-31",47.93
"Scotland","2021-01-01",51.97
"Scotland","2021-01-02",56.01
"Scotland","2021-01-03",60.06
"Scotland","2021-01-04",64.1
"Scotland","2021-01-05",64.54
"Scotland","2021-01-06",64.99
"Scotland","2021-01-07",65.43
"Scotland","2021-01-08",65.87
"Scotland","2021-01-09",66.31
"Scotland","2021-01-10",66.76
"Scotland","2021-01-11",67.2
"Scotland","2021-01-12",66.64
"Scotland","2021-01-13",66.09
"Scotland","2021-01-14",65.53
"Scotland","2021-01-15",64.97
"Scotland","2021-01-16",64.41
"Scotland","2021-01-17",63.86
"Scotland","2021-01-18",63.3
"Scotland","2021-01-19",64.14
"Scotland","2021-01-20",64.99
"Scotland","2021-01-21",65.83
"Scotland","2021-01-22",66.67
"Scotland","2021-01-23",67.51
"Scotland","2021-01-24",68.36
"Scotland","2021-01-25",69.2
"Scotland","2021-01-26",69.4
"Scotland","2021-01-27",69.6
"Scotland","2021-01-28",69.8
"Scotland","2021-01-29",70
"Scotland","2021-01-30",70.2
"Scotland","2021-01-31",70.4
"Scotland","2021-02-01",70.6
"Scotland","2021-02-02",73.93
"Scotland","2021-02-03",77.26
"Scotland","2021-02-04",80.59
"Scotland","2021-02-05",83.91
"Scotland","2021-02-06",87.24
"Scotland","2021-02-07",90.57
"Scotland","2021-02-08",93.9
"Scotland","2021-02-09",92.2
"Scotland","2021-02-10",90.5
"Scotland","2021-02-11",88.8
"Scotland","2021-02-12",87.1
"Scotland","2021-02-13",85.4
"Scotland","2021-02-14",83.7
"Scotland","2021-02-15",82
"Scotland","2021-02-16",84.57
"Scotland","2021-02-17",87.14
"Scotland","2021-02-18",89.71
"Scotland","2021-02-19",92.29
"Scotland","2021-02-20",94.86
"Scotland","2021-02-21",97.43
"Scotland","2021-02-22",100
"Scotland","2021-02-23",99
"Scotland","2021-02-24",98
"Scotland","2021-02-25",97
"Scotland","2021-02-26",96
"Scotland","2021-02-27",95
"Scotland","2021-02-28",94
"Scotland","2021-03-01",93
"Scotland","2021-03-02",94
"Scotland","2021-03-03",95
"Scotland","2021-03-04",96
"Scotland","2021-03-05",97
"Scotland","2021-03-06",98
"Scotland","2021-03-07",99
"Scotland","2021-03-08",100
"Wales","2020-10-05",0
"Wales","2020-10-06",0.01
"Wales","2020-10-07",0.03
"Wales","2020-10-08",0.04
"Wales","2020-10-09",0.06
"Wales","2020-10-10",0.07
"Wales","2020-10-11",0.09
"Wales","2020-10-12",0.1
"Wales","2020-10-13",0.23
"Wales","2020-10-14",0.36
"Wales","2020-10-15",0.49
"Wales","2020-10-16",0.61
"Wales","2020-10-17",0.74
"Wales","2020-10-18",0.87
"Wales","2020-10-19",1
"Wales","2020-10-20",1.24
"Wales","2020-10-21",1.49
"Wales","2020-10-22",1.73
"Wales","2020-10-23",1.97
"Wales","2020-10-24",2.21
"Wales","2020-10-25",2.46
"Wales","2020-10-26",2.7
"Wales","2020-10-27",3.37
"Wales","2020-10-28",4.04
"Wales","2020-10-29",4.71
"Wales","2020-10-30",5.39
"Wales","2020-10-31",6.06
"Wales","2020-11-01",6.73
"Wales","2020-11-02",7.4
"Wales","2020-11-03",8.8
