areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,Scotland,S92000003,2021-10-14,2639,599837
nation,Scotland,S92000003,2021-10-13,2581,597199
nation,Scotland,S92000003,2021-10-12,1908,594623
nation,Scotland,S92000003,2021-10-11,2297,592721
nation,Scotland,S92000003,2021-10-10,2363,590424
nation,Scotland,S92000003,2021-10-09,2417,588062
nation,Scotland,S92000003,2021-10-08,2627,585647
nation,Scotland,S92000003,2021-10-07,2691,583019
nation,Scotland,S92000003,2021-10-06,3055,580332
nation,Scotland,S92000003,2021-10-05,2056,577282
nation,Scotland,S92000003,2021-10-04,1760,575231
nation,Scotland,S92000003,2021-10-03,2040,573471
nation,Scotland,S92000003,2021-10-02,2515,571431
nation,Scotland,S92000003,2021-10-01,2693,568916
nation,Scotland,S92000003,2021-09-30,2911,566231
nation,Scotland,S92000003,2021-09-29,2997,563326
nation,Scotland,S92000003,2021-09-28,2370,560334
nation,Scotland,S92000003,2021-09-27,2069,557970
nation,Scotland,S92000003,2021-09-26,2556,555906
nation,Scotland,S92000003,2021-09-25,3261,553350
nation,Scotland,S92000003,2021-09-24,3667,550090
nation,Scotland,S92000003,2021-09-23,4024,546426
nation,Scotland,S92000003,2021-09-22,3598,542411
nation,Scotland,S92000003,2021-09-21,2870,538819
nation,Scotland,S92000003,2021-09-20,2917,535955
nation,Scotland,S92000003,2021-09-19,3833,533038
nation,Scotland,S92000003,2021-09-18,6116,529207
nation,Scotland,S92000003,2021-09-17,5529,523095
nation,Scotland,S92000003,2021-09-16,0,517216
nation,Scotland,S92000003,2021-09-15,4917,517216
nation,Scotland,S92000003,2021-09-14,3375,512312
nation,Scotland,S92000003,2021-09-13,4241,508882
nation,Scotland,S92000003,2021-09-12,5912,504650
nation,Scotland,S92000003,2021-09-11,4298,498745
nation,Scotland,S92000003,2021-09-10,6815,494457
nation,Scotland,S92000003,2021-09-09,6836,487654
nation,Scotland,S92000003,2021-09-08,5810,480824
nation,Scotland,S92000003,2021-09-07,5692,475027
nation,Scotland,S92000003,2021-09-06,7065,469341
nation,Scotland,S92000003,2021-09-05,6368,462288
nation,Scotland,S92000003,2021-09-04,6152,455926
nation,Scotland,S92000003,2021-09-03,6711,449780
nation,Scotland,S92000003,2021-09-02,6400,443080
nation,Scotland,S92000003,2021-09-01,6170,436688
nation,Scotland,S92000003,2021-08-31,6029,430525
nation,Scotland,S92000003,2021-08-30,3893,424508
nation,Scotland,S92000003,2021-08-29,7113,420622
nation,Scotland,S92000003,2021-08-28,5858,413518
nation,Scotland,S92000003,2021-08-27,6835,407660
nation,Scotland,S92000003,2021-08-26,4925,400842
nation,Scotland,S92000003,2021-08-25,5021,395918
nation,Scotland,S92000003,2021-08-24,4323,390908
nation,Scotland,S92000003,2021-08-23,3189,386591
nation,Scotland,S92000003,2021-08-22,3190,383403
nation,Scotland,S92000003,2021-08-21,3464,380217
nation,Scotland,S92000003,2021-08-20,3613,376753
nation,Scotland,S92000003,2021-08-19,3367,373143
nation,Scotland,S92000003,2021-08-18,2538,369779
nation,Scotland,S92000003,2021-08-17,1815,367241
nation,Scotland,S92000003,2021-08-16,1567,365427
nation,Scotland,S92000003,2021-08-15,1498,363860
nation,Scotland,S92000003,2021-08-14,1383,362366
nation,Scotland,S92000003,2021-08-13,1542,360983
nation,Scotland,S92000003,2021-08-12,1525,359442
nation,Scotland,S92000003,2021-08-11,1498,357917
nation,Scotland,S92000003,2021-08-10,1032,356419
nation,Scotland,S92000003,2021-08-09,851,355388
nation,Scotland,S92000003,2021-08-08,1240,354538
nation,Scotland,S92000003,2021-08-07,1386,353301
nation,Scotland,S92000003,2021-08-06,1250,351915
nation,Scotland,S92000003,2021-08-05,1381,350667
nation,Scotland,S92000003,2021-08-04,1271,349286
nation,Scotland,S92000003,2021-08-03,1016,348018
nation,Scotland,S92000003,2021-08-02,799,347005
nation,Scotland,S92000003,2021-08-01,1034,346210
nation,Scotland,S92000003,2021-07-31,1018,345176
nation,Scotland,S92000003,2021-07-30,1456,344158
nation,Scotland,S92000003,2021-07-29,1398,342704
nation,Scotland,S92000003,2021-07-28,1179,341307
nation,Scotland,S92000003,2021-07-27,1044,342059
nation,Scotland,S92000003,2021-07-26,1000,341015
nation,Scotland,S92000003,2021-07-25,1237,340015
nation,Scotland,S92000003,2021-07-24,1307,338778
nation,Scotland,S92000003,2021-07-23,1505,337471
nation,Scotland,S92000003,2021-07-22,1825,335966
nation,Scotland,S92000003,2021-07-21,1686,334141
nation,Scotland,S92000003,2021-07-20,1604,332455
nation,Scotland,S92000003,2021-07-19,1464,330851
nation,Scotland,S92000003,2021-07-18,1735,329387
nation,Scotland,S92000003,2021-07-17,2317,327652
nation,Scotland,S92000003,2021-07-16,2047,325335
nation,Scotland,S92000003,2021-07-15,2086,323288
nation,Scotland,S92000003,2021-07-14,2636,321202
nation,Scotland,S92000003,2021-07-13,2529,318566
nation,Scotland,S92000003,2021-07-12,2134,316037
nation,Scotland,S92000003,2021-07-11,2048,313903
nation,Scotland,S92000003,2021-07-10,2190,311855
nation,Scotland,S92000003,2021-07-09,3216,309665
nation,Scotland,S92000003,2021-07-08,2802,306449
nation,Scotland,S92000003,2021-07-07,3799,303647
nation,Scotland,S92000003,2021-07-06,2363,299848
nation,Scotland,S92000003,2021-07-05,2372,297485
nation,Scotland,S92000003,2021-07-04,2726,295113
nation,Scotland,S92000003,2021-07-03,3108,292387
nation,Scotland,S92000003,2021-07-02,3823,289279
nation,Scotland,S92000003,2021-07-01,4234,285456
nation,Scotland,S92000003,2021-06-30,3887,281222
nation,Scotland,S92000003,2021-06-29,3118,277335
nation,Scotland,S92000003,2021-06-28,3285,274217
nation,Scotland,S92000003,2021-06-27,2639,270932
nation,Scotland,S92000003,2021-06-26,2836,268293
nation,Scotland,S92000003,2021-06-25,1747,265457
nation,Scotland,S92000003,2021-06-24,2999,263710
nation,Scotland,S92000003,2021-06-23,2969,260711
nation,Scotland,S92000003,2021-06-22,2167,257742
nation,Scotland,S92000003,2021-06-21,1250,255575
nation,Scotland,S92000003,2021-06-20,1205,254325
nation,Scotland,S92000003,2021-06-19,1209,253120
nation,Scotland,S92000003,2021-06-18,950,251911
nation,Scotland,S92000003,2021-06-17,1317,250961
nation,Scotland,S92000003,2021-06-16,1129,249644
nation,Scotland,S92000003,2021-06-15,974,248515
nation,Scotland,S92000003,2021-06-14,761,247541
nation,Scotland,S92000003,2021-06-13,1036,246780
nation,Scotland,S92000003,2021-06-12,1030,245744
nation,Scotland,S92000003,2021-06-11,1104,244714
nation,Scotland,S92000003,2021-06-10,735,243610
nation,Scotland,S92000003,2021-06-09,1011,242875
nation,Scotland,S92000003,2021-06-08,695,241864
nation,Scotland,S92000003,2021-06-07,641,241169
nation,Scotland,S92000003,2021-06-06,775,240528
nation,Scotland,S92000003,2021-06-05,860,239753
nation,Scotland,S92000003,2021-06-04,992,238893
nation,Scotland,S92000003,2021-06-03,835,237901
nation,Scotland,S92000003,2021-06-02,677,237066
nation,Scotland,S92000003,2021-06-01,478,236389
nation,Scotland,S92000003,2021-05-31,490,235911
nation,Scotland,S92000003,2021-05-30,526,235421
nation,Scotland,S92000003,2021-05-29,583,234895
nation,Scotland,S92000003,2021-05-28,641,234312
nation,Scotland,S92000003,2021-05-27,464,233671
nation,Scotland,S92000003,2021-05-26,546,233207
nation,Scotland,S92000003,2021-05-25,318,232661
nation,Scotland,S92000003,2021-05-24,313,232343
nation,Scotland,S92000003,2021-05-23,378,232030
nation,Scotland,S92000003,2021-05-22,370,231652
nation,Scotland,S92000003,2021-05-21,414,231282
nation,Scotland,S92000003,2021-05-20,432,230868
nation,Scotland,S92000003,2021-05-19,394,230436
nation,Scotland,S92000003,2021-05-18,268,230042
nation,Scotland,S92000003,2021-05-17,161,229774
nation,Scotland,S92000003,2021-05-16,292,229613
nation,Scotland,S92000003,2021-05-15,413,229321
nation,Scotland,S92000003,2021-05-14,215,228908
nation,Scotland,S92000003,2021-05-13,270,228693
nation,Scotland,S92000003,2021-05-12,345,228423
nation,Scotland,S92000003,2021-05-11,238,228078
nation,Scotland,S92000003,2021-05-10,168,227840
nation,Scotland,S92000003,2021-05-09,200,227672
nation,Scotland,S92000003,2021-05-08,224,227472
nation,Scotland,S92000003,2021-05-07,236,227248
nation,Scotland,S92000003,2021-05-06,283,227012
nation,Scotland,S92000003,2021-05-05,85,226729
nation,Scotland,S92000003,2021-05-04,139,226644
nation,Scotland,S92000003,2021-05-03,132,226505
nation,Scotland,S92000003,2021-05-02,146,226373
nation,Scotland,S92000003,2021-05-01,175,226227
nation,Scotland,S92000003,2021-04-30,191,226052
nation,Scotland,S92000003,2021-04-29,178,225861
nation,Scotland,S92000003,2021-04-28,204,225683
nation,Scotland,S92000003,2021-04-27,133,225479
nation,Scotland,S92000003,2021-04-26,142,225346
nation,Scotland,S92000003,2021-04-25,176,225204
nation,Scotland,S92000003,2021-04-24,177,225028
nation,Scotland,S92000003,2021-04-23,255,224851
nation,Scotland,S92000003,2021-04-22,231,224596
nation,Scotland,S92000003,2021-04-21,273,224365
nation,Scotland,S92000003,2021-04-20,178,224092
nation,Scotland,S92000003,2021-04-19,232,223914
nation,Scotland,S92000003,2021-04-18,211,223682
nation,Scotland,S92000003,2021-04-17,210,223471
nation,Scotland,S92000003,2021-04-16,204,223261
nation,Scotland,S92000003,2021-04-15,237,222897
nation,Scotland,S92000003,2021-04-14,278,222660
nation,Scotland,S92000003,2021-04-13,221,222382
nation,Scotland,S92000003,2021-04-12,199,222161
nation,Scotland,S92000003,2021-04-11,250,221962
nation,Scotland,S92000003,2021-04-10,281,221712
nation,Scotland,S92000003,2021-04-09,285,221431
nation,Scotland,S92000003,2021-04-08,364,221146
nation,Scotland,S92000003,2021-04-07,289,220782
nation,Scotland,S92000003,2021-04-06,259,220493
nation,Scotland,S92000003,2021-04-05,248,220234
nation,Scotland,S92000003,2021-04-04,343,219986
nation,Scotland,S92000003,2021-04-03,397,219643
nation,Scotland,S92000003,2021-04-02,414,219246
nation,Scotland,S92000003,2021-04-01,400,218832
nation,Scotland,S92000003,2021-03-31,542,218432
nation,Scotland,S92000003,2021-03-30,411,217890
nation,Scotland,S92000003,2021-03-29,352,217479
nation,Scotland,S92000003,2021-03-28,422,217127
nation,Scotland,S92000003,2021-03-27,563,216705
nation,Scotland,S92000003,2021-03-26,543,216142
nation,Scotland,S92000003,2021-03-25,701,215599
nation,Scotland,S92000003,2021-03-24,692,215075
nation,Scotland,S92000003,2021-03-23,495,214383
nation,Scotland,S92000003,2021-03-22,359,213888
nation,Scotland,S92000003,2021-03-21,532,213529
nation,Scotland,S92000003,2021-03-20,488,212997
nation,Scotland,S92000003,2021-03-19,655,212509
nation,Scotland,S92000003,2021-03-18,624,211854
nation,Scotland,S92000003,2021-03-17,625,211230
nation,Scotland,S92000003,2021-03-16,597,210605
nation,Scotland,S92000003,2021-03-15,456,210008
nation,Scotland,S92000003,2021-03-14,484,209552
nation,Scotland,S92000003,2021-03-13,639,209068
nation,Scotland,S92000003,2021-03-12,682,208429
nation,Scotland,S92000003,2021-03-11,591,207747
nation,Scotland,S92000003,2021-03-10,691,207156
nation,Scotland,S92000003,2021-03-09,466,206465
nation,Scotland,S92000003,2021-03-08,501,205999
nation,Scotland,S92000003,2021-03-07,390,205498
nation,Scotland,S92000003,2021-03-06,555,205108
nation,Scotland,S92000003,2021-03-05,498,204553
nation,Scotland,S92000003,2021-03-04,500,204055
nation,Scotland,S92000003,2021-03-03,543,203555
nation,Scotland,S92000003,2021-03-02,542,203012
nation,Scotland,S92000003,2021-03-01,386,202470
nation,Scotland,S92000003,2021-02-28,572,202084
nation,Scotland,S92000003,2021-02-27,525,201512
nation,Scotland,S92000003,2021-02-26,581,200987
nation,Scotland,S92000003,2021-02-25,769,200406
nation,Scotland,S92000003,2021-02-24,798,199637
nation,Scotland,S92000003,2021-02-23,655,198839
nation,Scotland,S92000003,2021-02-22,715,198184
nation,Scotland,S92000003,2021-02-21,827,197469
nation,Scotland,S92000003,2021-02-20,803,196642
nation,Scotland,S92000003,2021-02-19,885,195839
nation,Scotland,S92000003,2021-02-18,685,194954
nation,Scotland,S92000003,2021-02-17,1121,194269
nation,Scotland,S92000003,2021-02-16,773,193148
nation,Scotland,S92000003,2021-02-15,559,192375
nation,Scotland,S92000003,2021-02-14,903,191816
nation,Scotland,S92000003,2021-02-13,908,190913
nation,Scotland,S92000003,2021-02-12,830,190005
nation,Scotland,S92000003,2021-02-11,830,189175
nation,Scotland,S92000003,2021-02-10,803,188345
nation,Scotland,S92000003,2021-02-09,822,187542
nation,Scotland,S92000003,2021-02-08,928,186720
nation,Scotland,S92000003,2021-02-07,584,185792
nation,Scotland,S92000003,2021-02-06,895,185208
nation,Scotland,S92000003,2021-02-05,895,184313
nation,Scotland,S92000003,2021-02-04,1149,183418
nation,Scotland,S92000003,2021-02-03,978,182269
nation,Scotland,S92000003,2021-02-02,758,181291
nation,Scotland,S92000003,2021-02-01,848,180533
nation,Scotland,S92000003,2021-01-31,1003,179685
nation,Scotland,S92000003,2021-01-30,994,178682
nation,Scotland,S92000003,2021-01-29,1155,177688
nation,Scotland,S92000003,2021-01-28,1201,176533
nation,Scotland,S92000003,2021-01-27,1330,175332
nation,Scotland,S92000003,2021-01-26,1049,174002
nation,Scotland,S92000003,2021-01-25,752,172953
nation,Scotland,S92000003,2021-01-24,1195,172201
nation,Scotland,S92000003,2021-01-23,1307,171006
nation,Scotland,S92000003,2021-01-22,1480,169699
nation,Scotland,S92000003,2021-01-21,1636,168219
nation,Scotland,S92000003,2021-01-20,1656,166583
nation,Scotland,S92000003,2021-01-19,1165,164927
nation,Scotland,S92000003,2021-01-18,1429,163762
nation,Scotland,S92000003,2021-01-17,1341,162333
nation,Scotland,S92000003,2021-01-16,1753,160992
nation,Scotland,S92000003,2021-01-15,2160,159239
nation,Scotland,S92000003,2021-01-14,1707,157079
nation,Scotland,S92000003,2021-01-13,1949,155372
nation,Scotland,S92000003,2021-01-12,1875,153423
nation,Scotland,S92000003,2021-01-11,1782,151548
nation,Scotland,S92000003,2021-01-10,1877,149766
nation,Scotland,S92000003,2021-01-09,1865,147889
nation,Scotland,S92000003,2021-01-08,2309,146024
nation,Scotland,S92000003,2021-01-07,2649,143715
nation,Scotland,S92000003,2021-01-06,2039,141066
nation,Scotland,S92000003,2021-01-05,2529,139027
nation,Scotland,S92000003,2021-01-04,1905,136498
nation,Scotland,S92000003,2021-01-03,2464,134593
nation,Scotland,S92000003,2021-01-02,2137,132129
nation,Scotland,S92000003,2021-01-01,2539,129992
nation,Scotland,S92000003,2020-12-31,2622,127453
nation,Scotland,S92000003,2020-12-30,2045,124831
nation,Scotland,S92000003,2020-12-29,1895,122786
nation,Scotland,S92000003,2020-12-28,967,120891
nation,Scotland,S92000003,2020-12-27,740,119924
nation,Scotland,S92000003,2020-12-26,1149,119184
nation,Scotland,S92000003,2020-12-25,1165,118035
nation,Scotland,S92000003,2020-12-24,1314,116870
nation,Scotland,S92000003,2020-12-23,1190,115556
nation,Scotland,S92000003,2020-12-22,1316,114366
nation,Scotland,S92000003,2020-12-21,1504,113050
